"","author","row_num"
"1","HORSMANS JW",1
"2","ROEMER M",2
"3","PATRIDGE MI",3
"4","TENNYSON RD",3
"5","SCHUELKE LD",4
"6","DOSEDEL JA",4
"7","BOND DG",4
"8","DOBROV GM",5
"9","BERNADSKY VN",5
"10","YERSHOV YV",5
"11","ZHURAVKOV VV",5
"12","GLUSHKOV VM",6
"13","DOBROV GM",6
"14","YERSHOV YV",6
"15","MAKSIMENKO VI",6
"16","DOBROV GM",7
"17","MALAYA MP",7
"18","SURGUCHOV GD",8
"19","MAZZETTI JP",9
"20","BOEHM BW",10
"21","ANTZES HL",11
"22","BESSLER MB",12
"23","MALETIC JT",12
"24","JONES WD",13
"25","BLICKWEDE D",14
"26","BEVACQUA SJ",15
"27","DESAI AV",16
"28","RANKY PG",17
"29","YOUDEN J",18
"30","POWER D",18
"31","HAN P",18
"32","ENGLISH J",18
"33","GAILING R",18
"34","RIZKALLA M",18
"35","GARGIONE LA",19
"36","JACOBY R",20
"37","MEE JL",20
"38","VICKERS K",21
"39","SALAMO G",21
"40","TURNER R",21
"41","TENG SG",22
"42","SHELNUTT JW",22
"43","KINCADE DH",23
"44","RUSINKO CA",24
"45","PASTORE CM",24
"46","LOKER S",25
"47","OH YJ",25
"48","BUCHER P",26
"49","JUNG HH",26
"50","NEAL RE",27
"51","MARKS DF",27
"52","STOCK GN",28
"53","TATIKONDA MV",28
"54","SPINOSA LM",29
"55","QUANDT CO",29
"56","RAMOS MP",29
"57","KUEI CH",30
"58","MADU CN",30
"59","LIN C",30
"60","CHOW WS",30
"61","MEEL M",31
"62","SAAT M",31
"63","SURESH KUMAR S",32
"64","SEINO T",33
"65","IKEDA Y",33
"66","KINOSHITA M",33
"67","SUZUKI T",33
"68","ATSUMI K",33
"69","BULLINGER HJ",34
"70","HANER UE",34
"71","ZOU Y",35
"72","CHENG L",35
"73","NEAL RE",36
"74","MARKS DF",36
"75","JIANCHENG G",37
"76","NING M",37
"77","BAIYANG G",37
"78","YILDIRIM OU",38
"79","ONER MA",38
"80","BASOGLU AN",38
"81","MORRISON MJ",39
"82","JAMES AD",39
"83","WARD RB",40
