"","keyword","row_num"
"1","PROGRAMS",1
"2","TECHNOLOGY TRANSFER COURSES",2
"3","UNITED STATES COLLEGES",3
"4","UNIVERSITIES",4
"5","COMPUTER SOFTWARE",5
"6","DATA SYSTEMS",6
"7","INFORMATION",7
"8","RESEARCH AND DEVELOPMENT",8
"9","SOFTWARE DEVELOPMENT",9
"10","SOFTWARE ENGINEERING",10
"11","SOFTWARE MANAGEMENT",11
"12","SYSTEMS",12
"13","ASSEMBLY",13
"14","COMPUTER NETWORKS",14
"15","ROBOTS",15
"16","EMPIRICAL STUDY",16
"17","IMPLEMENTATION",17
"18","OPERATION STRATEGY",18
"19","TECHNOLOGY MANAGEMENT",19
"20","TEXTILE COMPETITIVENESS",20
"21","TEXTILE INNOVATION",21
"22","TEXTILE TECHNOLOGY",22
"23","NEW TEXTILE PRODUCTS",23
"24","NEW TEXTILE PROCESSES",24
"25","INNOVATION MANAGEMENT",25
"26","APPAREL INDUSTRY",26
"27","CUSTOMIZATION",27
"28","TECHNOLOGY MANAGEMENT",28
"29","EMERGING TECHNOLOGIES",29
"30","GAP ANALYSIS",30
"31","INTELLIGENT TECHNOLOGY INVESTMENT",31
"32","TECHNOLOGY PLANNING AND IMPLEMENTATION",32
"33","TECHNOLOGY ROADMAPPING",33
"34","QUALITY",34
"35","STRATEGY",35
"36","SUPPLY-CHAIN MANAGEMENT",36
"37","TECHNOLOGY",37
"38","CONSUMER'S RELATIVE INCOMPETENCE",38
"39","INNOVATION MANAGEMENT",39
"40","PRODUCT ETHICAL LIFE CYCLE (STAGE OF IGNORANCE",40
"41","STAGE OF ETHICAL DILEMMA",41
"42","STAGE OF LEGAL REGULATIONS)",42
"43","PRODUCER'S ETHICAL SENSITIVITY",43
"44","PRODUCT SAFETY",44
"45","CHINA",45
"46","COAL MINE",46
"47","ELECTRIC SAFETY TECHNOLOGY",47
"48","EMERGING TECHNOLOGIES",48
"49","GAP ANALYSIS",49
"50","INTELLIGENT TECHNOLOGY INVESTMENT",50
"51","TECHNOLOGY PLANNING AND IMPLEMENTATION",51
