"","K","exclus","semcoh","heldout","residual","bound","lbound","em.its"
"1",5,8.92369401431689,-69.5316835405683,-7.3263396412419,2.99881256601273,-5859327.9320638,-5859323.14457206,28
"2",10,9.3929251007076,-83.3012209294174,-7.25367699206213,2.72713281213385,-5789514.44721454,-5789499.34280197,34
"3",12,9.45775883241576,-87.1907913540812,-7.22661646284855,2.64751181343937,-5769683.13947858,-5769663.15226408,20
"4",14,9.61412544556444,-86.7940339233338,-7.20652188002014,2.61606639126811,-5748136.82672039,-5748111.6354992,38
"5",15,9.62742553402657,-89.3027476475184,-7.19340346741434,2.58503839278164,-5737761.66780406,-5737733.76853267,36
"6",16,9.598094862017,-91.0739027651003,-7.1902716875409,2.55273117289309,-5735239.6947172,-5735209.0228571,33
"7",17,9.61626091324897,-92.2620309221493,-7.17616690622121,2.53332267881192,-5724578.29401889,-5724544.78894544,27
"8",18,9.65088195183757,-94.581982439777,-7.17498345021971,2.50741332559996,-5722387.88530242,-5722351.48985721,28
"9",19,9.6420619498809,-99.2436108927658,-7.1718221365826,2.49160092842848,-5715581.86521381,-5715542.52532962,26
"10",20,9.66718848260505,-98.5000705736009,-7.16574971674935,2.47880334351911,-5707073.42273581,-5707031.08711935,27
"11",21,9.68138880704618,-98.7773284451655,-7.16032547409501,2.46905585324492,-5701576.61932064,-5701531.23918174,25
"12",22,9.6920694227724,-100.542688431132,-7.15220610064485,2.4497432911345,-5693574.0377711,-5693525.56658975,24
"13",23,9.71663968301166,-101.0151127779,-7.1472907441703,2.44536320207513,-5690603.54433755,-5690551.93766199,32
"14",25,9.72136965849649,-100.972563022333,-7.13103039754635,2.40876498006141,-5674313.73409268,-5674255.73048746,20
"15",30,9.77194875674319,-102.693567156491,-7.10015752897916,2.34379644864329,-5644378.97349854,-5644304.31526219,20
"16",40,9.83183866051732,-107.004643650175,-7.06250488710406,2.26189520396659,-5613637.97498815,-5613527.65434843,33
"17",60,9.86578226484421,-117.002565916163,-7.0319566525208,2.12321108989098,-5565180.9079882,-5564992.27981477,22
"18",80,9.89063377662682,-123.684131248193,-7.00033522012389,2.03656552671288,-5522529.31064897,-5522255.63752468,20
"19",100,9.91576445812823,-127.843612673141,-6.97194171633578,2.01350739524888,-5491340.18293912,-5490976.44356357,29
