"","publication","row_num"
"1","RESEARCH POLICY",1
"2","JOURNAL OF DEVELOPMENT ECONOMICS",2
"3","JOURNAL OF INSTRUCTIONAL DEVELOPMENT",3
"4","THE JOURNAL OF TECHNOLOGY TRANSFER",4
"5","TECHNOLOGICAL FORECASTING AND SOCIAL CHANGE",5
"6","TECHNOLOGICAL FORECASTING AND SOCIAL CHANGE",6
"7","TECHNOLOGICAL FORECASTING AND SOCIAL CHANGE",7
"8","TECHNOLOGICAL FORECASTING AND SOCIAL CHANGE",8
"9","AFIPS CONFERENCE PROCEEDINGS - 1976 NATIONAL COMPUTER CONFERENCE AFIPS 1976",9
"10","IEEE TRANSACTIONS ON COMPUTERS",10
"11","IEEE TRANSACTIONS ON EDUCATION",11
"12","J.HYDRAULICS DIV.ASCE",12
"13","HOSPITALS",13
"14","OMEGA",14
"15","INTERNAL AUDITOR",15
"16","LONG RANGE PLANNING",16
"17","INDUSTRIAL ROBOT",17
"18","PROCEEDINGS OF THE INTERNATIONAL PIPELINE CONFERENCE, IPC",18
"19","ASEE ANNUAL CONFERENCE PROCEEDINGS",19
"20","ASEE ANNUAL CONFERENCE PROCEEDINGS",20
"21","ASEE ANNUAL CONFERENCE PROCEEDINGS",21
"22","ASEE ANNUAL CONFERENCE PROCEEDINGS",22
"23","JOURNAL OF TEXTILE AND APPAREL, TECHNOLOGY AND MANAGEMENT",23
"24","JOURNAL OF TEXTILE AND APPAREL, TECHNOLOGY AND MANAGEMENT",24
"25","JOURNAL OF TEXTILE AND APPAREL, TECHNOLOGY AND MANAGEMENT",25
"26","PICMET",26
"27","ISA TECH/EXPO TECHNOLOGY UPDATE CONFERENCE PROCEEDINGS",27
"28","PROCEEDINGS - ANNUAL MEETING OF THE DECISION SCIENCES INSTITUTE",28
"29","PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON COMPUTER SUPPORTED COOPERATIVE WORK IN DESIGN",29
"30","INTERNATIONAL JOURNAL OF QUALITY AND RELIABILITY MANAGEMENT",30
"31","JOURNAL OF BUSINESS ETHICS",31
"32","JOURNAL OF SCIENTIFIC AND INDUSTRIAL RESEARCH",32
"33","PICMET",33
"34","PICMET",34
"35","PROCEEDINGS IN MINING SCIENCE AND SAFETY TECHNOLOGY",35
"36","ISA TECH/EXPO TECHNOLOGY UPDATE CONFERENCE PROCEEDINGS",36
"37","PICMET",37
"38","PICMET",38
"39","PICMET",39
"40","PICMET",40
"41","PICMET",41
"42","PICMET",42
"43","PICMET",43
"44","PRODUCTION PLANNING AND CONTROL",44
"45","WINTER SIMULATION CONFERENCE PROCEEDINGS",45
"46","ANNUAL INTERNATIONAL CONFERENCE OF THE IEEE ENGINEERING IN MEDICINE AND BIOLOGY - PROCEEDINGS",46
"47","ANNUAL INTERNATIONAL CONFERENCE OF THE IEEE ENGINEERING IN MEDICINE AND BIOLOGY - PROCEEDINGS",47
"48","ANNUAL INTERNATIONAL CONFERENCE OF THE IEEE ENGINEERING IN MEDICINE AND BIOLOGY - PROCEEDINGS",48
"49","IEEE TRANSACTIONS ON PROFESSIONAL COMMUNICATION",49
"50","TECHNOLOGICAL FORECASTING AND SOCIAL CHANGE",50
"51","IEEE TRANSACTIONS ON ENGINEERING MANAGEMENT",51
"52","IEEE TRANSACTIONS ON ENGINEERING MANAGEMENT",52
"53","INTERNATIONAL JOURNAL OF PRODUCTION ECONOMICS",53
"54","TECHNOVATION",54
"55","CONSTRUCTION MANAGEMENT AND ECONOMICS",55
"56","PLATING AND SURFACE FINISHING",56
"57","BIOMEDICAL SCIENCES INSTRUMENTATION",57
"58","PROCEEDINGS OF THE AMERICAN CONTROL CONFERENCE",58
"59","JOURNAL OF ENGINEERING AND TECHNOLOGY MANAGEMENT - JET-M",59
"60","IEEE TRANSACTIONS ON ENGINEERING MANAGEMENT",60
"61","STRATEGIC MANAGEMENT JOURNAL",61
"62","ACTA ASTRONAUTICA",62
"63","JOURNAL OF THE AMERICAN SOCIETY FOR INFORMATION SCIENCE AND TECHNOLOGY",63
"64","EUROPEAN JOURNAL OF INNOVATION MANAGEMENT",64
"65","TECHNOLOGICAL FORECASTING AND SOCIAL CHANGE",65
"66","JOURNAL OF OPERATIONS MANAGEMENT",66
"67","TECHNOVATION",67
"68","JOURNAL OF ENGINEERING AND TECHNOLOGY MANAGEMENT - JET-M",68
"69","PHILIPPINE AGRICULTURAL SCIENTIST",69
"70","TECHNOLOGY ANALYSIS AND STRATEGIC MANAGEMENT",70
"71","IEEE TRANSACTIONS ON ENGINEERING MANAGEMENT",71
"72","PUBLIC LIBRARY QUARTERLY",72
"73","JOURNAL OF HIGH TECHNOLOGY MANAGEMENT RESEARCH",73
"74","EUROPEAN JOURNAL OF INNOVATION MANAGEMENT",74
"75","SYSTEM DYNAMICS REVIEW",75
"76","SAE TECHNICAL PAPERS",76
"77","THEORETICAL ISSUES IN ERGONOMICS SCIENCE",77
"78","INTERNATIONAL JOURNAL OF NETWORKING AND VIRTUAL ORGANISATIONS",78
"79","PROCEEDINGS - IEEE WORKSHOP ON KNOWLEDGE MEDIA NETWORKING, KMN 2002",79
"80","PROCEEDINGS - INTERNATIONAL CONFERENCE ON INFORMATION TECHNOLOGY: CODING AND COMPUTING, ITCC 2002",80
"81","INTERNATIONAL JOURNAL OF ENTREPRENEURSHIP AND INNOVATION MANAGEMENT",81
"82","INTERNATIONAL JOURNAL OF ENTREPRENEURSHIP AND INNOVATION MANAGEMENT",82
"83","PROCEEDINGS - DARPA ACTIVE NETWORKS CONFERENCE AND EXPOSITION, DANCE 2002",83
"84","PROCEEDINGS - 2002 IEEE 4TH INTERNATIONAL WORKSHOP ON NETWORKED APPLIANCES",84
"85","PROCEEDINGS OF THE IEEE INTERNATIONAL SYMPOSIUM ON HIGH PERFORMANCE DISTRIBUTED COMPUTING",85
"86","PROCEEDINGS OF THE IEEE INTERNATIONAL CONFERENCE ON REQUIREMENTS ENGINEERING",86
"87","IEEE ASIA-PACIFIC CONFERENCE ON CIRCUITS AND SYSTEMS, PROCEEDINGS, APCCAS",87
"88","PROCEEDINGS - CONFERENCE ON LOCAL COMPUTER NETWORKS, LCN",88
"89","PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON PARALLEL AND DISTRIBUTED SYSTEMS - ICPADS",89
"90","PROCEEDINGS OF THE ANNUAL HAWAII INTERNATIONAL CONFERENCE ON SYSTEM SCIENCES",90
"91","PROCEEDINGS - INTERNATIONAL CONFERENCE ON COMPUTER COMMUNICATIONS AND NETWORKS, ICCCN",91
"92","PROCEEDINGS OF THE ANNUAL HAWAII INTERNATIONAL CONFERENCE ON SYSTEM SCIENCES",92
"93","PROCEEDINGS OF THE ANNUAL HAWAII INTERNATIONAL CONFERENCE ON SYSTEM SCIENCES",93
"94","PROCEEDINGS OF THE ANNUAL HAWAII INTERNATIONAL CONFERENCE ON SYSTEM SCIENCES",94
"95","PROCEEDINGS OF THE ANNUAL HAWAII INTERNATIONAL CONFERENCE ON SYSTEM SCIENCES",95
"96","PROCEEDINGS OF THE ANNUAL HAWAII INTERNATIONAL CONFERENCE ON SYSTEM SCIENCES",96
"97","PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON INFORMATION VISUALISATION",97
"98","PROCEEDINGS - INTERNATIONAL WORKSHOP ON DATABASE AND EXPERT SYSTEMS APPLICATIONS, DEXA",98
"99","PROCEEDINGS OF THE ANNUAL HAWAII INTERNATIONAL CONFERENCE ON SYSTEM SCIENCES",99
"100","PROCEEDINGS - INTERNATIONAL WORKSHOP ON DATABASE AND EXPERT SYSTEMS APPLICATIONS, DEXA",100
"101","PROCEEDINGS OF THE ANNUAL HAWAII INTERNATIONAL CONFERENCE ON SYSTEM SCIENCES",101
"102","PROCEEDINGS OF THE ANNUAL HAWAII INTERNATIONAL CONFERENCE ON SYSTEM SCIENCES",102
"103","PROCEEDINGS OF THE ANNUAL HAWAII INTERNATIONAL CONFERENCE ON SYSTEM SCIENCES",103
"104","PROCEEDINGS OF THE ANNUAL HAWAII INTERNATIONAL CONFERENCE ON SYSTEM SCIENCES",104
"105","PROCEEDINGS OF THE ANNUAL HAWAII INTERNATIONAL CONFERENCE ON SYSTEM SCIENCES",105
"106","PROCEEDINGS OF THE ANNUAL HAWAII INTERNATIONAL CONFERENCE ON SYSTEM SCIENCES",106
"107","PROCEEDINGS OF THE ANNUAL HAWAII INTERNATIONAL CONFERENCE ON SYSTEM SCIENCES",107
"108","PROCEEDINGS OF THE ANNUAL HAWAII INTERNATIONAL CONFERENCE ON SYSTEM SCIENCES",108
"109","PROCEEDINGS - INTERNATIONAL WORKSHOP ON DATABASE AND EXPERT SYSTEMS APPLICATIONS, DEXA",109
"110","PROCEEDINGS OF THE ANNUAL HAWAII INTERNATIONAL CONFERENCE ON SYSTEM SCIENCES",110
"111","PROCEEDINGS OF THE ANNUAL HAWAII INTERNATIONAL CONFERENCE ON SYSTEM SCIENCES",111
"112","PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON INFORMATION VISUALISATION",112
"113","PROCEEDINGS OF THE ANNUAL HAWAII INTERNATIONAL CONFERENCE ON SYSTEM SCIENCES",113
"114","PROCEEDINGS OF THE ANNUAL HAWAII INTERNATIONAL CONFERENCE ON SYSTEM SCIENCES",114
"115","PROCEEDINGS OF THE ANNUAL HAWAII INTERNATIONAL CONFERENCE ON SYSTEM SCIENCES",115
"116","PROCEEDINGS OF THE ANNUAL HAWAII INTERNATIONAL CONFERENCE ON SYSTEM SCIENCES",116
"117","PROCEEDINGS OF THE ANNUAL HAWAII INTERNATIONAL CONFERENCE ON SYSTEM SCIENCES",117
"118","PROCEEDINGS OF THE ANNUAL HAWAII INTERNATIONAL CONFERENCE ON SYSTEM SCIENCES",118
"119","PROCEEDINGS OF THE ANNUAL HAWAII INTERNATIONAL CONFERENCE ON SYSTEM SCIENCES",119
"120","PROCEEDINGS OF THE ANNUAL HAWAII INTERNATIONAL CONFERENCE ON SYSTEM SCIENCES",120
"121","PROCEEDINGS OF THE ANNUAL HAWAII INTERNATIONAL CONFERENCE ON SYSTEM SCIENCES",121
"122","PROCEEDINGS OF THE ANNUAL HAWAII INTERNATIONAL CONFERENCE ON SYSTEM SCIENCES",122
"123","PROCEEDINGS - INTERNATIONAL WORKSHOP ON DATABASE AND EXPERT SYSTEMS APPLICATIONS, DEXA",123
"124","PROCEEDINGS OF THE ANNUAL HAWAII INTERNATIONAL CONFERENCE ON SYSTEM SCIENCES",124
"125","PROCEEDINGS OF THE ANNUAL HAWAII INTERNATIONAL CONFERENCE ON SYSTEM SCIENCES",125
"126","INTERNATIONAL JOURNAL OF ENTREPRENEURSHIP AND INNOVATION MANAGEMENT",126
"127","PROCEEDINGS - INTERNATIONAL SOFTWARE METRICS SYMPOSIUM",127
"128","PROCEEDINGS OF THE IEEE INTERNATIONAL WORKSHOP ON RESEARCH ISSUES IN DATA ENGINEERING",128
"129","INTERNATIONAL JOURNAL OF BUSINESS PERFORMANCE MANAGEMENT",129
"130","PROCEEDINGS OF THE ANNUAL HAWAII INTERNATIONAL CONFERENCE ON SYSTEM SCIENCES",130
"131","ASIA PACIFIC JOURNAL OF MARKETING AND LOGISTICS",131
"132","ASIA PACIFIC JOURNAL OF MARKETING AND LOGISTICS",132
"133","ASIA PACIFIC JOURNAL OF MARKETING AND LOGISTICS",133
"134","PROCEEDINGS OF IEEE INTERNATIONAL SYMPOSIUM ON HIGH ASSURANCE SYSTEMS ENGINEERING",134
"135","PROCEEDINGS OF THE ANNUAL HAWAII INTERNATIONAL CONFERENCE ON SYSTEM SCIENCES",135
