Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
8,"R Rajan, S Dhir","Technology management for innovation in organizations: an argumentation-based modified TISM approach",2020,"Benchmarking: An International Journal","emerald.com","https://www.emerald.com/insight/content/doi/10.1108/BIJ-01-2020-0019/full/html","https://scholar.google.com/scholar?cites=9817280606036040241&as_sdt=2005&sciodt=2007&hl=en",1,"2021-09-04 12:15:46","","10.1108/BIJ-01-2020-0019","","",,,,,8,8.00,4,2,1,"Purpose In the rapidly changing business world, innovation plays a vital role for organizations to gain a competitive advantage. Various factors associated with technology management and innovations in organizations are diverse in the existing literature …","","https://scholar.google.com/scholar?q=related:MRocb7L8PYgJ:scholar.google.com/&scioq=intitle:%22technology+management%22&hl=en&as_sdt=2007&as_ylo=2020&as_yhi=2020"
11,"B Orlando, LV Ballestra, V Scuotto…","The impact of R&D investments on eco-innovation: A cross-cultural perspective of green technology management",2020,"IEEE Transactions …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9153053/","https://scholar.google.com/scholar?cites=9409338605086884065&as_sdt=2005&sciodt=2007&hl=en",2,"2021-09-04 12:15:46","","","","",,,,,11,11.00,3,4,1,"This article originally seeks to explore the impact of R&D investments and societal culture on green technology management, by applying Hofstede's cross-cultural perspective. At large, we investigate if green innovation is positively associated to country cultural indulgence, as …","","https://scholar.google.com/scholar?q=related:4cCSx5uvlIIJ:scholar.google.com/&scioq=intitle:%22technology+management%22&hl=en&as_sdt=2007&as_ylo=2020&as_yhi=2020"
9,"T Linner, W Pan, R Hu, C Zhao, K Iturralde…","A technology management system for the development of single-task construction robots",2020,"Construction …","emerald.com","https://www.emerald.com/insight/content/doi/10.1108/CI-06-2019-0053/full/","https://scholar.google.com/scholar?cites=18273611178545211407&as_sdt=2005&sciodt=2007&hl=en",3,"2021-09-04 12:15:46","","10.1108/CI-06-2019-0053","","",,,,,9,9.00,2,6,1,"Purpose Because of the sharply growing interest worldwide of “hard” physical-mechanical robot systems for the execution of on-site construction tasks [ie single-task construction robots (STCRs)], the purpose of this study is to equip development projects with a systematic …","https://mediatum.ub.tum.de/doc/1521868/file.pdf","https://scholar.google.com/scholar?q=related:D2jLlIzomP0J:scholar.google.com/&scioq=intitle:%22technology+management%22&hl=en&as_sdt=2007&as_ylo=2020&as_yhi=2020"
8,"Y Tou, C Watanabe, P Neittaanmäki","Fusion of technology management and financing management-Amazon's transformative endeavor by orchestrating techno-financing systems",2020,"Technology in Society","Elsevier","https://www.sciencedirect.com/science/article/pii/S0160791X19303744","https://scholar.google.com/scholar?cites=13888833820925160455&as_sdt=2005&sciodt=2007&hl=en",4,"2021-09-04 12:15:46","","","","",,,,,8,8.00,3,3,1,"Amazon became the world R&D leader in 2017 by rapidly increasing R&D investment. Its R&D investment in 2017 was double that of 2015, 5 times that of 2012, and 10 times that of 2011. This rapid increase continued in 2018, and Amazon accomplished a skyrocketing …","http://pure.iiasa.ac.at/id/eprint/16210/1/1-s2.0-S0160791X19303744-main.pdf","https://scholar.google.com/scholar?q=related:B-ysIMYMv8AJ:scholar.google.com/&scioq=intitle:%22technology+management%22&hl=en&as_sdt=2007&as_ylo=2020&as_yhi=2020"
5,"W Wu, Z Liang, Q Zhang, H Zhang","Coupling relationships and synergistic mechanisms between technology management capability and technological capability in product innovation: a simulation study",2020,"Technology Analysis & …","Taylor & Francis","https://www.tandfonline.com/doi/abs/10.1080/09537325.2020.1743261","https://scholar.google.com/scholar?cites=12868291794720578575&as_sdt=2005&sciodt=2007&hl=en",5,"2021-09-04 12:15:46","","10.1080/09537325.2020.1743261","","",,,,,5,5.00,1,4,1,"This paper focuses on the dynamic co-evolution of technology management capability and technological capability in the system of product innovation. It is motivated by the increasing attention that product innovation has received recently, as it is considered one of the most …","","https://scholar.google.com/scholar?q=related:D9xkSjVblbIJ:scholar.google.com/&scioq=intitle:%22technology+management%22&hl=en&as_sdt=2007&as_ylo=2020&as_yhi=2020"
3,"J Weaver","Technology, Management and the Evangelical Church",2020,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=keDgDwAAQBAJ&oi=fnd&pg=PP1&dq=%22technology+management%22&ots=HXmJvswsU2&sig=GrWYcpvgWqSO8cznixy53fx35Qo","https://scholar.google.com/scholar?cites=17321167117748794655&as_sdt=2005&sciodt=2007&hl=en",6,"2021-09-04 12:15:46","BOOK","","","",,,,,3,3.00,3,1,1,"This book explores the technological innovations and management practices of evangelical Christian religions. Beginning from the late 19th century, the author examines the evangelical church's increasing appropriation of business practices from the secular world …","","https://scholar.google.com/scholar?q=related:H_WX3LglYfAJ:scholar.google.com/&scioq=intitle:%22technology+management%22&hl=en&as_sdt=2007&as_ylo=2020&as_yhi=2020"
4,"S Panwar, PK Kapur, N Sachdeva…","Multi-generational technology management in a segmented environment",2020,"International Journal of …","inderscienceonline.com","https://www.inderscienceonline.com/doi/abs/10.1504/IJPD.2020.106447","https://scholar.google.com/scholar?cites=9486372233708344808&as_sdt=2005&sciodt=2007&hl=en",7,"2021-09-04 12:15:46","","10.1504/IJPD.2020.106447","","",,,,,4,4.00,1,4,1,"This paper examines the diffusion pattern of multi-generational technology innovation using segment-based analysis. The objective of the study is to comprehend the variation in the adoption behaviour of individuals across different geographical regions. The market of …","","https://scholar.google.com/scholar?q=related:6JVQHUldpoMJ:scholar.google.com/&scioq=intitle:%22technology+management%22&hl=en&as_sdt=2007&as_ylo=2020&as_yhi=2020"
16,"T Herath, HSB Herath","Coping with the new normal imposed by the COVID-19 pandemic: Lessons for technology management and governance",2020,"Information Systems Management","Taylor & Francis","https://www.tandfonline.com/doi/abs/10.1080/10580530.2020.1818902","https://scholar.google.com/scholar?cites=12143522255113782231&as_sdt=2005&sciodt=2007&hl=en",8,"2021-09-04 12:15:46","","10.1080/10580530.2020.1818902","","",,,,,16,16.00,8,2,1,"The reliance of many facets of society on technology and online platforms has grown exponentially during the COVID-19 pandemic. This drastic change has impacted all industries and service sectors alike including the health-care sector, education, retail, travel …","","https://scholar.google.com/scholar?q=related:14Mb4iZ1hqgJ:scholar.google.com/&scioq=intitle:%22technology+management%22&hl=en&as_sdt=2007&as_ylo=2020&as_yhi=2020"
1,"A Steiber","Technology Management: Corporate-Startup Co-Location and How to Measure the Effects",2020,"Journal of technology management & innovation","scielo.conicyt.cl","https://scielo.conicyt.cl/scielo.php?pid=S0718-27242020000200011&script=sci_arttext&tlng=n","https://scholar.google.com/scholar?cites=6719010991974201565&as_sdt=2005&sciodt=2007&hl=en",9,"2021-09-04 12:15:46","HTML","","","",,,,,1,1.00,1,1,1,"Rapid technological developments make firms favor the creation of new approaches to technology management. Startups can offer large firms access to new technologies and the emphasis on corporate-startup collaboration has therefore reached a new level. Many …","https://scielo.conicyt.cl/scielo.php?pid=S0718-27242020000200011&script=sci_arttext&tlng=n","https://scholar.google.com/scholar?q=related:3TiR-uW4Pl0J:scholar.google.com/&scioq=intitle:%22technology+management%22&hl=en&as_sdt=2007&as_ylo=2020&as_yhi=2020"
5,"R Dzombak, E Kasikaralar, HE Dillon","Exploring Cost and Environmental Implications of Optimal Technology Management Strategies in the Street Lighting Industry",2020,"Resources, Conservation & …","Elsevier","https://www.sciencedirect.com/science/article/pii/S2590289X19300192","https://scholar.google.com/scholar?cites=8726425887374258717&as_sdt=2005&sciodt=2007&hl=en",10,"2021-09-04 12:15:46","HTML","","","",,,,,5,5.00,2,3,1,"The market for solid-state lighting (SSL) systems has expanded 40-fold in installed lamps since 2001. At the same time, systems which preserve materials over time and promote material reuse are getting increasing attention in light of calls for reducing consumption of …","https://www.sciencedirect.com/science/article/pii/S2590289X19300192","https://scholar.google.com/scholar?q=related:HTK3Jxx-GnkJ:scholar.google.com/&scioq=intitle:%22technology+management%22&hl=en&as_sdt=2007&as_ylo=2020&as_yhi=2020"
