"","K","Exclusivity","SemanticCoherence","Model"
"1","1",9.39942122257366,-67.0202735470365,"Model K = 15"
"2","2",9.67188801247753,-99.8154710320898,"Model K = 15"
"3","3",9.21988973249888,-72.1921913232801,"Model K = 15"
"4","4",9.30154126893633,-91.7080632761844,"Model K = 15"
"5","5",9.35187751235908,-95.8313748006323,"Model K = 15"
"6","6",9.50577782194251,-84.2242319568067,"Model K = 15"
"7","7",9.29043180929571,-90.7277478046675,"Model K = 15"
"8","8",9.5039767171906,-92.6049699464399,"Model K = 15"
"9","9",9.4683188418487,-86.0215983768936,"Model K = 15"
"10","10",9.34198781691834,-61.2797777928089,"Model K = 15"
"11","11",9.24286072820611,-72.0225304054989,"Model K = 15"
"12","12",9.36404377448886,-91.986513421908,"Model K = 15"
"13","13",9.35003253017311,-104.370862734523,"Model K = 15"
"14","14",9.46759358033987,-90.9753245620048,"Model K = 15"
"15","15",9.13792220970354,-83.5090720617621,"Model K = 15"
"16","1",9.50272450762422,-80.6201953343157,"Model K = 17"
"17","2",9.60066545929636,-89.573664398515,"Model K = 17"
"18","3",9.30937011649587,-73.8214927891544,"Model K = 17"
"19","4",9.36580888475694,-72.4021192712428,"Model K = 17"
"20","5",9.32734607007614,-87.8838202014597,"Model K = 17"
"21","6",9.40318587906418,-78.5434980853221,"Model K = 17"
"22","7",9.4765434672017,-96.3491667593356,"Model K = 17"
"23","8",9.60399592490287,-99.1377880277534,"Model K = 17"
"24","9",9.55890680241309,-88.956231015434,"Model K = 17"
"25","10",9.37351220049918,-61.9052466411122,"Model K = 17"
"26","11",9.41861720182025,-79.3242721557871,"Model K = 17"
"27","12",9.4947301860792,-100.884472384319,"Model K = 17"
"28","13",9.35960603812478,-105.772201369743,"Model K = 17"
"29","14",9.50838589369106,-109.48031218631,"Model K = 17"
"30","15",9.21189856145333,-81.1850474598403,"Model K = 17"
"31","16",9.75857776581442,-93.2717212746755,"Model K = 17"
"32","17",9.58479023368864,-123.722418033179,"Model K = 17"
"33","1",9.52812144367896,-81.9823850246546,"Model K = 19"
"34","2",9.61657052127693,-86.5863489709326,"Model K = 19"
"35","3",9.33533853285111,-77.8826856881634,"Model K = 19"
"36","4",9.4096171017902,-79.2985396770314,"Model K = 19"
"37","5",9.54306301297349,-95.4101183240238,"Model K = 19"
"38","6",9.54711433534295,-89.668598550209,"Model K = 19"
"39","7",9.44436198496058,-103.446010256295,"Model K = 19"
"40","8",9.56792730779402,-97.3156435668841,"Model K = 19"
"41","9",9.58823351002629,-90.9459762167199,"Model K = 19"
"42","10",9.2723862913743,-92.5975148355987,"Model K = 19"
"43","11",9.59354532155852,-89.3076553358038,"Model K = 19"
"44","12",9.49746615531145,-105.05245250651,"Model K = 19"
"45","13",9.35604712475458,-99.031363720619,"Model K = 19"
"46","14",9.51340166565922,-105.380935536611,"Model K = 19"
"47","15",9.28084934810436,-89.068181043578,"Model K = 19"
"48","16",9.7102579755234,-94.6212014747335,"Model K = 19"
"49","17",9.58918974180404,-86.6073748445401,"Model K = 19"
"50","18",9.66845025706399,-61.6928377148632,"Model K = 19"
"51","19",9.66598954816612,-118.916367307807,"Model K = 19"
"52","1",9.50522143704003,-73.6765860452839,"Model K = 20"
"53","2",9.62952156719625,-87.4119666001944,"Model K = 20"
"54","3",9.43772858597215,-78.8075200700202,"Model K = 20"
"55","4",9.47387218120007,-84.705889220272,"Model K = 20"
"56","5",9.65834411854,-92.2310376920714,"Model K = 20"
"57","6",9.55239490085516,-87.8932330455161,"Model K = 20"
"58","7",9.553068809783,-101.239992622216,"Model K = 20"
"59","8",9.61710301911366,-99.1377880277534,"Model K = 20"
"60","9",9.37467227732353,-84.3595195019611,"Model K = 20"
"61","10",9.32188893599434,-99.0691724200253,"Model K = 20"
"62","11",9.65943475081005,-91.7084374680334,"Model K = 20"
"63","12",9.54483724024452,-103.294047635795,"Model K = 20"
"64","13",9.37247226132478,-105.525598422512,"Model K = 20"
"65","14",9.61896320540952,-109.601313797029,"Model K = 20"
"66","15",9.29502268614697,-89.068181043578,"Model K = 20"
"67","16",9.83442243002323,-88.6896399124755,"Model K = 20"
"68","17",9.52788188629738,-97.4175773507411,"Model K = 20"
"69","18",9.68629108639795,-60.3860653803442,"Model K = 20"
"70","19",9.32242710051998,-83.501342575419,"Model K = 20"
"71","20",9.76140397210585,-95.6572794234064,"Model K = 20"
"72","1",9.68135219159346,-74.4877557931715,"Model K = 21"
"73","2",9.63796923245164,-92.1148076611518,"Model K = 21"
"74","3",9.44083687245273,-77.3729191817816,"Model K = 21"
"75","4",9.47392829658888,-81.9922339001469,"Model K = 21"
"76","5",9.58560070359382,-90.0533298495739,"Model K = 21"
"77","6",9.53232141095804,-86.4344559498673,"Model K = 21"
"78","7",9.53515788244019,-112.717031535267,"Model K = 21"
"79","8",9.465697816489,-91.0641592727882,"Model K = 21"
"80","9",9.39839297053959,-86.7491388227212,"Model K = 21"
"81","10",9.23870863327685,-85.0100751989532,"Model K = 21"
"82","11",9.59587669813109,-88.0669475816642,"Model K = 21"
"83","12",9.55753084596334,-106.103782276712,"Model K = 21"
"84","13",9.46281664098853,-120.884924661768,"Model K = 21"
"85","14",9.53513470032847,-100.081832907701,"Model K = 21"
"86","15",9.26946839771288,-83.3474806775566,"Model K = 21"
"87","16",9.62337858754718,-94.1838420714199,"Model K = 21"
"88","17",9.56291604518142,-84.3552300977841,"Model K = 21"
"89","18",9.684600837137,-61.3884496148055,"Model K = 21"
"90","19",9.31928385984244,-83.6033737785836,"Model K = 21"
"91","20",9.45527329372451,-75.2197738941458,"Model K = 21"
"92","21",9.70173592322927,-96.8967162790088,"Model K = 21"
"93","1",9.69406786097351,-74.4877557931715,"Model K = 22"
"94","2",9.66009714552611,-89.7024887593886,"Model K = 22"
"95","3",9.44907051651963,-77.9712325677458,"Model K = 22"
"96","4",9.59994421351211,-100.806220735326,"Model K = 22"
"97","5",9.59966619061557,-87.8433787372932,"Model K = 22"
"98","6",9.5776440217098,-75.7980437938685,"Model K = 22"
"99","7",9.51017069216732,-109.394833193871,"Model K = 22"
"100","8",9.4979185862149,-82.9994565129237,"Model K = 22"
"101","9",9.47937929224816,-91.0550260382262,"Model K = 22"
"102","10",9.34641494536991,-97.2270888550443,"Model K = 22"
"103","11",9.68651048877203,-91.8063084640119,"Model K = 22"
"104","12",9.59117845151286,-99.6400637602051,"Model K = 22"
"105","13",9.46580501302212,-107.874053684969,"Model K = 22"
"106","14",9.64297538096692,-107.555187373775,"Model K = 22"
"107","15",9.33146418732727,-99.8254111433301,"Model K = 22"
"108","16",9.63235718166442,-94.1838420714199,"Model K = 22"
