"","K","exclus","semcoh","heldout","residual","bound","lbound","em.its"
"1",5,8.54554953106595,-66.950509531097,-8.3371103924589,15.2101317476945,-8524049.81232572,-8524045.02483398,58
"2",10,9.14119126410989,-79.0572980997487,-8.24912858373176,11.6162189223368,-8381062.71081246,-8381047.60639989,97
"3",12,9.28442140237268,-84.3540130049207,-8.22022280135225,10.7923302711971,-8336907.94554742,-8336887.95833292,118
"4",14,9.4069559645946,-88.8821533456562,-8.20104749344135,10.2426072296528,-8302318.27158726,-8302293.08036608,123
"5",15,9.43779474328386,-87.5328046678686,-8.19277176724438,9.94610964599387,-8285880.20147917,-8285852.30220779,121
"6",17,9.51650359415606,-90.8881253958803,-8.1854244023511,9.53901518859196,-8266597.86475394,-8266564.35968049,116
"7",19,9.50053713622053,-89.0750027429239,-8.17079432670936,9.07144243300032,-8234593.86872261,-8234554.52883843,118
"8",20,9.5952399604915,-91.3085028891102,-8.15202609686149,9.05788679632473,-8223051.21984606,-8223008.8842296,101
"9",25,9.62305230519516,-95.6836015558953,-8.14249205556482,8.08166708599362,-8164488.40629501,-8164430.40268978,105
"10",30,9.64152932019332,-99.641849635688,-8.13243999325818,7.46904392931341,-8118593.60309371,-8118518.94485736,81
"11",40,9.67674817873487,-106.159764304424,-8.13269741240156,6.55142675132906,-8041623.02180405,-8041512.70116434,61
"12",60,9.70820063556217,-108.965915364681,-8.15670700643799,5.23250649170934,-7919302.38242279,-7919113.75424937,33
"13",80,9.68610396824114,-111.640256150891,-8.24740943245796,4.11993960134971,-7819269.57619923,-7818995.90307495,14
